ALGUM COISA TENTAR	Vamos tentar alguma coisa!
POR EXEMPLO ESTE LISTA ANÚNCIO PARTIDO ECOLOGISTA OS VERDES APOIO CANDIDATURA COMUNISTA ENTRAR OU MULHER MANDATÁRIO NACIONAL JOÃO FERREIRA HELOÍSA APOLÓNIA OU AINDA PRÓPRIO NOTÍCIA DISCURSO EURODEPUTADO MULHER MANDATÁRIO CANDIDATO EVENTO APRESENTAR	Nesta lista entra, por exemplo, o anúncio do apoio do Partido Ecologista Os Verdes à candidatura do comunista, ou da mandatária nacional de João Ferreira, Heloísa Apolónia, ou ainda uma notícia sobre o próprio discurso do eurodeputado e candidato presidencial no evento em que foi apresentada a mandatária.
BEM COMO SOCIALISTA ASCENSO SIMÕES OUTRO APOIO LISTAS DEPUTADO CANDIDATO PCP TAMBÉM APOIO APOIO MULHER DEPUTADO ELEITO ISABEL MOREIRA PS NOTICIAR	O apoio do deputado socialista Ascenso Simões ao candidato do PCP também foi amplamente noticiado, bem como o apoio de outra deputada eleita em listas do PS, Isabel Moreira
ALÉM SOCIAL CANDIDATO VÁRIOS ENTREVISTAS ISSO ÓRGÃOS COMUNICAÇÃO CONTAR	Além disso, o candidato contou com várias entrevistas a órgãos de comunicação social
ALÉM JÁ REFERIR ENTREVISTA LUSA PODER REPLICAR AQUI AQUI LER ENTREVISTAR CANDIDATO COMUNISTA AQUI MEIO OUTUBRO DIÁRIO NOTÍCIA E IR	Além da já referida entrevista à Lusa — que pode ler replicada aqui, aqui, aqui, aqui, aqui e ainda aqui –, o candidato comunista foi ainda entrevistado, a meio de outubro, pelo Diário de Notícia e a TSF, e também pelo Porto Canal
AINDA PRIMEIRO ANTES PRINCIPAL PRESIDENCIAL COMUNISTA CANDIDATO CONGRESSO 2 DIA PALCO OBSERVADOR DISCURSAR AINDA ENTREVISTAR MULHER TELEVISÃO VÁRIOS EQUIPAS CONGRESSO LOURES DESTACAR	Durante os dois primeiros dias de congresso, ainda antes de discursar no palco principal, o candidato presidencial comunista foi ainda entrevistado pelo Observador e em várias televisões com equipas destacadas para o Congresso de Loures
ENTREVISTAS TODO ÓRGÃOS FORMATO COMUNICAÇÃO COSTUMAR REFERIR RECORRER QUANDO ELEITORAL MAIS ATO APROXIMAR	É de referir que as entrevistas costumam ser um formato a que todos os órgãos de comunicação social recorrem quando mais se aproxima o ato eleitoral.
ANTES AINDA ESTE CHECK 28 FACT SETEMBRO ANALISAR TAMBÉM NOMEADO VASTO POSSÍVEL NOVEMBRO SEU 28 CANDIDATURA 17 17 17 SETEMBRO ENCONTRAR REGISTO 17 17 ELE OFICIALIZAR	Antes ainda deste período que analisamos neste fact check (entre 28 de setembro e 28 de novembro) também é possível encontrar registos de notícias sobre João Ferreira, nomeadamente uma vasta cobertura do momento em que oficializou a sua candidatura, no dia 17 de setembro
NESSA ALTURA NOTÍCIA CANDIDATO LUXEMBURGO COMO PUBLICAÇÃO CONTACTO COMUNIDADE PAÍS IR APELIDAR	Nessa altura, o candidato comunista foi notícia até no Luxemburgo, no Contacto, jornal que se apelida como a publicação da comunidade portuguesa no país
GERAL DISCURSO APRESENTAÇÃO CANDIDATURA COBERTURA SEU TER TAMBÉM EXTENSOS TRABALHOS MAIS ANALISAR	O seu discurso de apresentação de candidatura teve cobertura geral e foi também analisado em trabalhos mais extensos.
TAMBÉM CANDIDATO 2 NÚMERO MULHER AÇÃO CAMPANHA COMUNICAÇÃO SOCIAL MÊS ÚLTIMO ANALISAR CONVOCAR ATRAVÉS TODO ACORDO 20 EMAIL CONTA MULHER DESLOCAÇÃO PAÍS IR RECEBER DAR	Analisámos também o número de ações de campanha para as quais o candidato comunista a Belém convocou a comunicação social nos dois últimos meses e foram 20, de acordo com os emails recebidos através do gabinete de imprensa do PCP sobre a agenda de João Ferreira que dão conta de deslocações por todo o país
BEM TAMBÉM JÁ DIFERENTE OUTRO NÚMERO MESMA CANDIDATURA PARLAMENTO EUROPEU MARISA MATIAS OFICIALIZAR REGISTAR	Bem diferente do número registado por uma outra candidatura também já oficializada e da mesma área política, também de alguém com lugar no Parlamento Europeu: Marisa Matias
ATRAVÉS MULHER CANDIDATO MENOS ACORDO REGISTO MULHER PRÉ CAMPANHA SEU ONDE ONDE ONDE ONDE BLOCO ESQUERDA ONDE CANDIDATURA EVENTO VERIFICAR 8 APOIAR SURGIR	A candidata apoiada pelo Bloco de Esquerda tem tido menos ações de pré-campanha, de acordo com o que é possível verificar através do site oficial da sua candidatura onde surge o registo de apenas 8 eventos.
MULHER CANDIDATO MARISA MATIAS VOTO QUINTO VOTO MAIS FICAR 1000 VOTAR IR VOTAR	Marisa Matias foi a terceira candidata mais votada (10,12% dos votos) nas últimas presidenciais, ficou à frente do candidato comunista Edgar Silva (o quinto mais votado) por 276 mil votos
QUANDO TAMBÉM EMBORA COMUNISTA SEU COMPARAR COBERTURA MULHER AÇÃO MULHER PRÉ CAMPANHA JOÃO FERREIRA FRENTE TAMBÉM TAMBÉM EVENTOS TAMBÉM FICAR	Quando comparada a cobertura das suas ações de pré-campanha com a de João Ferreira, o comunista fica muito à frente, embora também tenha tido muito mais eventos até agora.
MESMO ÚLTIMO OBSERVADOR USAR MODELO JOÃO FERREIRA 2 MARISA MATIAS REFERÊNCIA LUSA 2 MÊS USAR REGISTAR ATRAVÉS SÓ RESULTADO ESSE GOOGLE NEWS 13 PESQUISA NOTÍCIA COMUNICAÇÃO CONTABILIZAR REFERIR REPLICAR	Usando o mesmo modelo que usou para João Ferreira, o Observador registou cinco referências a Marisa Matias na Lusa nos últimos dois meses e 13 resultados de pesquisa através do Google News (só contabilizando os que se referem a notícias que foram replicadas na comunicação social) nesse mesmo período
ASSIM 20 MULHER AÇÃO CAMPANHA 12 JOÃO FERREIRA CAMPANHA NOTÍCIA LUSA ATRAVÉS ENTRADA 27 GOOGLE NEWS VERIFICAR	São, assim, 20 ações de campanha de João Ferreira, com 12 notícias na Lusa e 27 entradas verificadas através do Google News e oito ações de campanha de Marisa Matias, com cinco notícias na Lusa e 13 entradas através do Google News.
NÃO SÓ OBSERVADOR ESTE ESCOLHER 2 COMPARATIVO CANDIDATO MESMA ÁREA POLÍTICO MAS TAMBÉM IGUAIS ATUAL MULHER FUNÇÃO ELES TER	O Observador escolheu o comparativo entre estes dois candidatos presidenciais não só por serem da mesma área política, mas também por terem funções iguais atualmente
COBERTURA INCOMPARÁVEL LÍDER CANDIDATO ANDRÉ VENTURA ANDRÉ VENTURA ANDRÉ VENTURA QUE ASSEMBLEIA DA REPÚBLICA CONFERÊNCIAS IMPRENSA SER ENVOLVER TAMBÉM MAIS DEVER MULHER DECLARAÇÃO SEU SEU TER PRESIDENCIAL MULHER FUNÇÃO RESPEITO PRESIDENCIAL CANDIDATURA PRESIDENCIAL APRESENTAR DIZER (NÃO)	A cobertura noticiosa de um candidato como André Ventura, por exemplo, é incomparável tendo em conta que para além de ter assumido uma candidatura a Belém, o líder do Chega é também deputado à Assembleia da República, pelo que o número de notícias a envolver conferências de imprensa, entrevistas e declarações públicas é mais elevado, tendo em conta que apresenta também maior atividade pública diária (devido às suas funções parlamentares) que não diz respeito à sua candidatura presidencial.
ONTEM HOJE DORL DO PCP MINISTRO DA ADMINISTRAÇÃO INTERNA INEQUÍVOCO INEQUÍVOCO INEQUÍVOCO INEQUÍVOCO INEQUÍVOCO PARTE CORPO POLICIAL PRODUZIR INEQUÍVOCO PROFERIR AFIRMAR ENVIAR ILUSTRAR (NÃO)	Perante as declarações proferidas ontem pelo Ministro da Administração Interna, António Costa, onde afirmou que não se produzira no dia 13 de Março uma carga policial na Empresa Pereira da Costa, a DORL do PCP enviou hoje ao Ministro da Administração Interna uma reportagem fotográfica que ilustra - de forma inequívoca - a utilização da força por parte do Corpo Policial presente
NOMEADO POLÍCIAS DETENÇÃO DIRIGENTE SINDICAL PAISANA DISPERSÃO VIOLENTO ESTE TAL CARGA NINGUÉM INQUÉRITO RAZÃO TRABALHADORES REALIZAR MULHER DECISÃO FARDAR EXIGIR DAR AFIRMAR CUMPRIR NEM APENAS MAIS QUE PORQUE FORÇA ESTADO PORTUGUÊS ESTADO PORTUGUÊS ESTADO PORTUGUÊS ESTADO PORTUGUÊS CONJUNTO MÁQUINAS RETIRAR ESTADO PORTUGUÊS CUMPRIR FAZER UTILIZAR REITERADO MATERIAL OUTRO DENÚNCIAS EMPRESA VÉSPERA REITERADO AGENTE CONIVÊNCIA TRIBUNAL PATRONATO DESVIAR APRESENTAR INVESTIGAR	Nomeadamente, a violenta detenção de um dirigente sindical por polícias à paisana e fardados, a utilização de bastões pela polícia, a dispersão violenta da concentração de trabalhadores.Perante estes factos, a DORL do PCP exige ao Ministro o cumprimento da palavra dada na mesma ocasião, onde afirmou que se tal carga tivesse ocorrido, um rigoroso inquérito seria realizado.- Porque razão, de entre as múltiplas decisões judiciais favoráveis aos trabalhadores que ninguém cumpriu nem fez cumprir, a força do Estado Português apenas foi utilizada para impor uma providência cautelar de mais que duvidosa legitimidade?- Porque razão a força do Estado Português foi utilizada para retirar da Empresa um conjunto de máquinas e material, desviadas para uma outra empresa, na véspera da concretização da penhora dos bens da empresa a favor dos trabalhadores?- As denúncias apresentadas reiteradamente pelos trabalhadores de conivência de um agente do tribunal com o Patronato foram devidamente investigadas
PORQUE JÁ QUE PORQUE ESTADO PORTUGUÊS AGENTE TODO ESSE CLARO PROCESSO EFEITOS ABUSIVO TRABALHADORES DESPEDIMENTO IR MERGULHAR PRODUZIR NÃO ESPECULAÇÃO DORL DO PCP PORTUGAL SERVIÇO LEMBRAR TRAÇO DITADURA ANO SISTEMÁTICO PATRONATO OPRIMIR (NÃO)	E se foram, porque não produziram efeitos visíveis, já que esse mesmo agente conduziu todo o processo até ao final?- Porque razão o Estado Português é mergulhado numa clara operação de destruição do Aparelho Produtivo Nacional, de despedimento abusivo de trabalhadores e de especulação imobiliária?A DORL do PCP lembra que um dos traços marcantes da ditadura fascista que durante 48 anos oprimiu Portugal era exactamente a sistemática utilização da força do Estado ao serviço do Patronato
MARCA MUITOS O DORL DO PCP SEU DETERMINAÇÃO SEU TODO PEREIRA DA COSTA CONFIANÇA OBSTÁCULOS EXPRIMIR ENXERTAR QUERER REAFIRMAR VENCER SABER TODO TRABALHADORES ELE APELAR ACTIVO POPULAÇÃO SEMELHANÇA ESTE MARÇO SOLIDARIEDADE DIA 13 LUTA SOLIDÁRIO MOBILIZAR MANTER CADA VEZ MAIS ACTUAL LUTA FRENTE DEFESA ELE ALARGAR DORL DO PCP ESTE IDEIAS GOVERNO ABRIL GRAVIDADE MULHER QUESTÃO CAUSA RÁPIDO RESPOSTA MULHER QUESTÃO EXIGIR RÁPIDO APURAMENTO RESPONSABILIDADES PENAIS BASTÕES POLÍTICO PORTA VOZ DA DIRECÇÃO NACIONAL DA PSP AFIRMAR USAR COMO TAMBÉM DIRIGENTE MENTIRA PRESO POLÍCIAS PAISANA FARDAR (NÃO)	Marca que, com o processo de recuperação capitalista em curso, muitos querem enxertar no Estado Democrático, pervertendo-o totalmente.A DORL do PCP reafirma a sua total solidariedade com a justa luta dos trabalhadores da Pereira da Costa, exprime a total confiança que a sua determinação saberá vencer todos os obstáculos, e apela a todos os trabalhadores e à população para que, à semelhança da notável solidariedade mobilizada no dia 13 de Março, se mantenha activamente solidária com a esta luta, e alargue a cada vez mais actual frente de luta em defesa da liberdade e dos ideias de Abril.A DORL do PCP, perante a gravidade das questões em causa, exige a rápida resposta do Governo a estas questões e o rápido apuramento das responsabilidades penais e políticas,Executivo DORL do PCP,Como afirmou o Porta-Voz da Direcção Nacional da PSP não foram usados bastões?:Também é mentira que um dirigente sindical foi preso por polícias à paisana e fardados
JÁ POLICIAL O PAISANA ALI POLÍCIAS CARGA INFILTRAR FAZER HAVER (NÃO)	E já agora, o que é que ali faziam infiltrados polícias à paisana?Não houve carga policial
{FORÇA ELE USAR}(q)	Não se usou a força?
PUBLICAÇÃO 25 FACEBOOK FRASE LÍDER DEFENDER BLOCO ESQUERDA NOVEMBRO ESCOLA TRAZER ATRIBUIR (NÃO)	Uma publicação no Facebook traz uma frase atribuída à líder do Bloco de Esquerda a defender que o 25 de novembro de 1975 não seja lecionado nas escolas
IMAGEM CATARINA MARTINS FRASE MULHER COORDENADOR BE SURGIR DIZER NUNCA NÃO	A imagem de Catarina Martins surge ao lado de uma frase que nunca foi dita pela coordenadora do BE.
HORA LETRA COMO SE FRASE LIVRO LIVRO LIVRO LIVRO LIVRO PARLAMENTAR EVOCATIVO MULHER VOTAÇÃO ESCREVER EXCOMUNGAR FOSSAR OPOR OU SAUDAÇÃO PAÍS DIA PROCESSO REVOLUCIONÁRIO FIM CURSO 25 25 ABRIL REPRESENTAR VIVER	Está na hora de excomungar a data do 25 de novembro dos livros escolares, aparece escrito a letras brancas, como se fosse uma frase de Catarina Martins que, de facto, já se opôs, em votações parlamentares, a textos evocativos ou de saudação pelo dia que representou o fim do Processo Revolucionário em Curso em que vivia o país desde o 25 de Abril de 74
DOIS JUNTO AINDA ASSIM ESTE EVENTO COMO ESTE MANUAIS FRASE PUBLICAÇÃO INDICAR CONFIRMAR DEFENDER CONSTAR DEIXAR ATRIBUIR NUNCA NÃO	Ainda assim, a líder do Bloco de Esquerda nunca defendeu, segundo confirmou o Observador junto de fonte oficial do partido, que este evento histórico deixe de constar dos manuais escolares, como indica a frase que lhe é atribuída nesta publicação
REGISTO ESTE NENHUM SENTIDO EXISTIR (NÃO)	Não existe nenhum registo neste sentido.
AFIRMAÇÃO VERDADE MESMA PUBLICAÇÃO APARECER AINDA_NÃO QUE ESSE CATARINA MARTINS ACABAR INSTITUIÇÃO FASCISTA DEFENDER COLOCAR {NÃO}(headshake)	Tal como não é verdade a restante afirmação que aparece na mesma publicação e que coloca Catarina Martins a defender que se acabe com essa instituição fascista e anacrónica dos Comandos, uma tropa especial do Exército
MILITAR MULHER COORDENADOR AQUELE ESTE BLOCO ESQUERDA UNIDADE TERMOS REFERIR NUNCA NÃO MAS IDEIA REGIMENTO COMANDOS ERRAR ACABAR QUANDO JÁ LÍDER SEU BLOCO EXTINÇÃO 2016 ATRIBUIR DEFENDER (NÃO)	A coordenadora do Bloco de Esquerda nunca se referiu àquela unidade militar nestes termos, mas a ideia de acabar com o regimento de Comandos não está errada, quando atribuída à líder do Bloco, que já defendeu a sua extinção em 2016.
REGIMENTO 1993 COMANDOS ACABAR	Em 1993, acabou-se com o regimento de Comandos
BEM MULHER COORDENADOR BE SETEMBRO 2016 AFIRMAR DEPOIS HOJE FORÇA AQUELE REUNIÃO NECESSIDADE MESA NACIONAL DO BE DEMOCRACIA PORTUGUÊS ESPECÍFICO DEFENDER PERMANENTE TRAGÉDIA MARCAR (NÃO)	E bem, afirmou a coordenadora do BE, em setembro de 2016, depois de uma reunião da Mesa Nacional do BE, defendendo que aquela força não responde a uma necessidade específica hoje na democracia portuguesa e tem sido permanentemente marcada pela tragédia
FIM SEMANA AQUELE TRAGÉDIA NECESSÁRIO COMANDOS FIM SEMANA FIM SEMANA FIM SEMANA FIM SEMANA FIM SEMANA FIM SEMANA FIM SEMANA COMANDOS TREINO REATIVADO ACONTECER DEVER (NÃO)	É necessário que, reconhecendo a tragédia, se acabe com o batalhão de Comandos, que não devia ter sido reativado em 2002, disse Catarina Martins, numa referência a um episódio que tinha acontecido naquele Verão, com a morte de dois recrutas do 127.º curso de Comandos, durante o primeiro fim de semana de treinos.
MORTE POSIÇÃO MULHER COORDENADOR BLOCO ESQUERDA VIDA VIDA VIDA RECRUTA SETEMBRO CURSO COMANDOS VIDA CONHECER CONHECER PERDER	A posição da coordenadora do Bloco de Esquerda foi conhecida a 10 de setembro de 2016, no mesmo dia em que foi conhecida a morte do segundo recruta do 127º curso de Comandos a perder a vida
ONDE DYLAN ARAÚJO DA SILVA HOSPITAL CURRY CABRAL INTERNAR 4 DIA QUADRO FALÊNCIA HEPÁTICO TRANSFERIR HEPÁTICO DEPOIS INICIAL CALOR GOLPE FASE CURSO SOFRER	Dylan Araújo da Silva estava internado há quatro dias no Hospital de Curry Cabral, para onde foi transferido com um quadro de falência hepática depois de ter sofrido um golpe de calor na fase inicial do curso
ANTES PLENO HUGO ABREU OUTRO RECRUTA DIAS JÁ VIDA REALIZAÇÃO CAMPO TIRO ALCOCHETE EXERCÍCIOS TREINO PERDER	Dias antes, outro recruta, Hugo Abreu, já tinha perdido a vida em pleno Campo de Tiro de Alcochete, durante a realização de exercícios de treino.
2 MORTE CASOS VÁRIOS MILITARES CURSO INTEGRAR AINDA ASSISTÊNCIA TER PROCESSO LISBOA ORIGEM RECEBER DAR DECORRER	As duas mortes e os vários casos de militares que integravam o curso e que tiveram de receber assistência médica deram origem a um processo judicial que ainda decorre em Lisboa
ESTADO EURO FINAL SEMANA CHEGAR 2 2 2 2 2 2 INDEMNIZAÇÃO FAMÍLIA MILITAR PASSADO SABER	No final da semana passada, soube-se que o Estado português tinha chegado a acordo com as famílias de Hugo Abreu e Dylan Araújo da Silva para o pagamento de uma indemnização de 200 mil e 21o mil euros, respetivamente, às famílias dos dois militares.
CATARINA MARTINS ALGUM QUE 25 VERDADE VEZ DEVA ESCOLA DEFENDER DEIXAR LECIONAR (NÃO)	Não é verdade que Catarina Martins tenha alguma vez defendido que o 25 de novembro de 1975 deva deixar de ser lecionado nas escolas
ALGUM VERDADE REFERIR COMO COMANDOS INSTITUIÇÃO FASCISTA AINDA_NÃO EMBORA ANACRÓNICO ESTE FORÇA MILITAR EXTINÇÃO {NÃO}(headshake)	E também não é verdade que alguma vez se tenha referido aos Comandos como uma instituição fascista e anacrónica, embora seja defensora da extinção desta força militar.
HOJE SECRETÁRIA ESTADO DO TURISMO 1001000 EURO APOIO MANUTENÇÃO ADIANTAR DISPONIBILIZAR CAPACIDADE EMPRESA FINAL 1001000 ANO SETOR TURISMO DIRECIONADOS	A secretária de Estado do Turismo adiantou hoje que dos 22 mil milhões de euros disponibilizados para apoio à manutenção do emprego e capacidade das empresas até final do ano, 2,5 mil milhões são direcionados para o setor do turismo.
RITA MARQUES COMISSÃO ECONOMIA DEPUTADOS INOVAÇÃO OBRAS PÚBLICAS FALAR HABITAÇÃO ASSEMBLEIA DA REPÚBLICA AUDIÇÃO PEDIDO CDS PP QUANDO EXPURGAR MORATÓRIAS NATUREZA FISCAL ELE EXPLICAR COMISSÃO ECONOMIA RITA MARQUES DEPUTADOS INOVAÇÃO OBRAS PÚBLICAS FALAR PEDIDO ASSEMBLEIA DA REPÚBLICA HABITAÇÃO CDS PP AUDIÇÃO QUANDO QUE EXPURGAR MORATÓRIAS NATUREZA FISCAL ELE EXPLICAR MULHER BANCÁRIO 1001000 DISPONIBILIZAR 31 DEZEMBRO TURISMO PASSADO DIRECIONADOS	Rita Marques falava perante os deputados da Comissão de Economia, Inovação, Obras Públicas e Habitação, na Assembleia da República, numa audição a pedido do CDS-PP, quando explicou que, expurgando moratórias de natureza fiscal e bancária, os 22 mil milhões de euros disponibilizados para as empresas até 31 de dezembro passam a 12 mil milhões de euros e, desses, 2,5 mil milhões de euros são direcionados para o setor do turismo.
VALORES AQUELE CONJUNTO INSTRUMENTOS GOVERNO POSTOS CAPACIDADE EMPRESAS ENQUADRAR CRIAR	Aqueles valores enquadram-se no conjunto de instrumentos criados pelo Governo para apoiar a manutenção dos postos de trabalho e a capacidade produtiva das empresas.
TAMBÉM SECRETÁRIA LINHA ESTADO DO TURISMO TESOURARIA APOIO TURISMO PORTUGAL JÁ APROVAR 1000000 EURO DIZER	A secretária de Estado do Turismo disse também que a linha de apoio à tesouraria do Turismo de Portugal já aprovou 55,6 milhões de euros.
RELATIVO JÁ JÁ APOIAR 46 PROGRAMA PT 36.944 1000000 1000000 1000000 1000000 VALOR EURO PAGO RECEBER APROVAR	Relativamente ao programa Apoiar.pt, que já recebeu 36.944 candidaturas, 46% das quais associadas ao setor do turismo, já aprovou financiamento no valor de cerca de 100 milhões de euros, dos quais 43 milhões já foram pagos.
ONTEM CERCA DATA TERMO ACEITAÇÃO 7.600 7.600 MULHER TERÇA FEIRA TER 7.600 EURO RITA MARQUES ASSINAR AFIRMAR EFETUADOS	À data de ontem [terça-feira], tínhamos cerca de 7.600 candidaturas cujos termos de aceitação já estão assinados, com pagamentos efetuados de 43 milhões de euros, afirmou Rita Marques.
PLANO PILAR 5 5 5 CONFIANÇA INVESTIMENTO ELABORAR ADIANTAR REFORÇAR ASSENTAR CONHECIMENTO CONECTIVIDADE PONTOS AÉREO COMPETITIVIDADE TRANSPORTE AÉREO IDENTIFICAR AUMENTAR APOSTAR	Para o futuro, a governante adiantou que está a ser elaborado um plano de retoma, que assentará em cinco pilares: investimento (reforçar a confiança no investimento e identificar pontos de ligação com as empresas), conhecimento, território (iniciativas que apostem na coesão territorial), conectividade (aumentar a competitividade do transporte aéreo) e promoção.
EMPRESA O SETEMBRO 2020 SETOR 1001000 1001000 EURO FATURAÇÃO DECRÉSCIMO 1001000 RECEITA SOFRER REPRESENTAR 10 RECUO ANO ELE SUBLINHAR RITA MARQUES SIGNIFICAR	Até setembro de 2020 as empresas do setor do turismo sofreram quebras de faturação de 7,7 mil milhões de euros, o que representa um decréscimo de receitas de 56%, e significa um recuo de 10 anos, sublinhou Rita Marques.
RELATIVO TRABALHO POSTO PROSSEGUIR TRIMESTRE 2020 RECUO TRABALHADOR SETOR ASSOCIAR	Relativamente ao emprego, prosseguiu, no terceiro trimestre de 2020 estavam registados 285 mil postos de trabalho associados ao turismo, representando um recuo de 14,8% e uma diminuição de 49,3 mil trabalhadores no setor.
ATRAVÉS WHATSAPP E MAIL REDES SOCIAIS	Por WhatsApp, por e-mail e através das redes sociais
MAIS ESTE MULHER TERÇA FEIRA CHEFE 1000 1000 1000 1000 DIREITO SAÚDE VALOR EURO CIRCULAR COMEÇAR TER RECEBER	Esta terça-feira, começou a circular pelos mais diversos canais a informação de que a chefe de gabinete da ministra da Saúde ia ter direito a receber um valor na ordem dos 40 mil euros
MOTIVO NOME 1 EVA FALCÃO DESPACHO SECRETÁRIO ESTADO ADJUNTO MUITOS CONSTAR SAÚDE ANTÓNIO LACERDA SALES DIA 30 NOVEMBRO DIÁRIO DA REPÚBLICA PUBLICAR HOSPITALAR PROMOÇÃO OU GRAU MAIS 80 ADMINISTRADOR ELE OFICIALIZAR	Motivo: O nome de Eva Falcão é um dos muitos que constam de um despacho do secretário de Estado Adjunto e da Saúde, António Lacerda Sales, publicado no dia 30 de novembro em Diário da República e que oficializa a promoção (ou mudança de grau) de mais de 80 administradores hospitalares
ORA DESPACHO FORMALIZAR ESSE MULHER PROMOÇÃO FACTUAIS	Ora, essas promoções são factuais — o despacho formaliza-as
MAS RETROATIVAS ALGUMAS ALEGAR MULHER COMPENSAÇÃO 15 ANO ACONTECER (NÃO)	Mas as alegadas compensações retroativas (algumas com 15 anos) não vão acontecer.
SNS INFORMAÇÃO SERVIÇO NACIONAL SAÚDE ALTURA BRAÇOS ENCARGOS DINHEIRO INSUPORTÁVEIS DIFUNDIR REFERIR VER MINISTÉRIO DA SAÚDE HOSPITAL COVID 2005 2005 GABINETE AUMENTO 2005 ANUNCIAR MINISTRA PAGAR REPORTAR (NÃO)	A informação difundida refere que numa altura em que o Serviço Nacional de Saúde (SNS) se vê a braços com encargos financeiros insuportáveis, e em que os hospitais do SNS não têm orçamento para pagar os prémios aos profissionais de saúde que estiveram na linha da frente do combate à COVID, o Ministério da Saúde anuncia a subida de grau da chefe de gabinete da ministra (Eva Falcão), com os respetivos aumentos remuneratórios reportados a 2005
15 ANO RETROATIVOS	15 anos de retroativos!
CERCA IDENTIDADE RETROATIVOS ESSE CHEGAR CONTA 1000 AUTOR TEXTO IR (NÃO)	No caso de Eva Falcão, esses retroativos chegariam — pelas contas do autor original do texto, cuja identidade não foi possível apurar — a cerca de 40 mil euros
MAS AINDA MIGUEL RODRIGUES CASO ADJUNTO 2 MINISTÉRIO REFERIR FÁTIMA CENA TAMBÉM SILVA ESTE BENEFICIAR MULHER PROMOÇÃO	Mas ainda referidos os casos de dois adjuntos do ministério, Miguel Rodrigues e Fátima Cena e Silva, que seriam também beneficiados com estas promoções
MAIS PRÓPRIO QUE MULHER FUNÇÃO MOMENTO MINISTÉRIO DA SAÚDE MINISTRA ALEGAR EXERCER DEIXAR ENQUANTO TAMBÉM ADMINISTRADOR ABRIGO SEU ATUALIZAÇÃO REGIME REMUNERATÓRIO DESPACHO RECLAMAR ELE PODER	Mais: alega-se que, no momento em que deixar de exercer as funções no Ministério da Saúde, a própria ministra, enquanto administradora hospitalar, poderia também reclamar a atualização do seu regime remuneratório, ao abrigo deste despacho.
MULHER ADMINISTRADOR PUBLICAÇÃO DIÁRIO DA REPÚBLICA 1 1 1 QUADRO GRAU EFEITO FEVEREIRO ASSINAR PROMOVER REPORTAR	Com a publicação em Diário da República do despacho assinado por Lacerda Sales, Eva Falcão foi promovida a administradora do 3.º grau do quadro único, com efeitos reportados a 1 de fevereiro de 2005
MAS MINISTÉRIO DA SAÚDE OBSERVADOR MAS ASSOCIAÇÃO PORTUGUESA ADMINISTRADORES HOSPITALARES APAH QUALQUER POSSIBILIDADE EURO EVA FALCÃO ANO ATUALIZAÇÃO GABINETE MARTA TEMIDO TAL 1000 PENDENTE 15 REMUNERATÓRIO HAVER	Mas, ao Observador, o Ministério da Saúde e a Associação Portuguesa de Administradores Hospitalares (APAH) negam qualquer possibilidade de a chefe de gabinete de Marta Temido receber os tais 40 mil euros por uma atualização remuneratória que estava pendente, no caso de Eva Falcão, há 15 anos.
ÂMBITO DESPACHO DO SENHOR SECRETÁRIO ESTADO ADJUNTO ÂMBITO DESPACHO DO SENHOR SECRETÁRIO ESTADO ADJUNTO 118132020 30 NOVEMBRO N SAÚDE º IMPORTAR POSTED ON ASSOCIAÇÃO PORTUGUESA ADMINISTRADORES HOSPITALARES TUESDAY DECEMBER 1	No âmbito do Despacho do Senhor Secretário de Estado Adjunto e da Saúde n.º 11813/2020, de 30 de novembro, importa… Posted by Associação Portuguesa de Administradores Hospitalares on Tuesday, December 1, 2020
MIGUEL RODRIGUES MESMO FORMA ADJUNTOS MULHER FUNÇÃO MINISTÉRIO FÁTIMA CENA SILVA DOCUMENTO PÁGINA FACEBOOK ACRESCENTAR ASSOCIAÇÃO BENEFICIAR ANUNCIAR PUBLICAR AINDA_{NÃO}(headshake)	Da mesma forma, os adjuntos em funções no ministério, Miguel Rodrigues e Fátima Cena e Silva, também não são beneficiados pelo documento, acrescenta a associação, na linha daquilo que anunciava o esclarecimento publicado na página do Facebook
GRAU ADMINISTRADORES SEU ESTE DIREITO CARREIRA BENEFÍCIOS APAH ALTERAR GARANTIR VER (NÃO)	Apesar de estes administradores hospitalares verem ser alterado o seu grau na carreira, não têm direito a benefícios remuneratórios, garante a APAH
SIM ATUALIZAÇÃO MESMOS FUTURO GRAU ADMINISTRADORES FUTURO NOVOS HOSPITALARES COLOCAÇÃO FUTURO TER PODER	A atualização do grau destes administradores poderia ter efeitos remuneratórios, sim, se no futuro os mesmos se candidatarem concursos para a colocação de novos administradores hospitalares
AQUI QUESTÃO ABERTO 2004 CONCURSO HAVER NÃO NEM SEQUER QUALQUER ELES HAVER PREVISÃO ABERTOS GABINETE ALEXANDRE LOURENÇO COMUNICAÇÃO APAH VIR DIZER (NÃO)	A questão, aqui, é que não há concursos abertos desde 2004 e nem sequer há qualquer previsão de que eles venham a ser abertos, diz Alexandre Lourenço, do gabinete de comunicação da APAH
