Bom dia, Mike.	BOM DIA MIKE
Prazeres, dores, gozos e perigos.	PRAZERES GOZOS MULHER DOR PERIGOS
Bem ou mal, não terás o que mereces.	BEM OU MAL O MERECER NÃO_TER {NÃO}(headshake)
Querem os deuses a isto obrigar	ELE DEUSES ELES QUERER
Porque o Fado não tem	FADO PORQUE NÃO_TER {NÃO}(headshake)
Leis nossas com que reja a sua lei.	NOSSO LEIS LEI SEU REGER
Quem é rei hoje, amanhã escravo cruza	HOJE AMANHÃ ESCRAVO REIR CRUZAR
Com o escravo de ontem que é depois rei.	ONTEM ESCRAVO DEPOIS REIR
Sem razão um caiu,	RAZÃO ELE CAIR
Sem causa nele o outro ascenderá.	OUTRO CAUSA DELE ASCENDER
Não em nós, mas dos deuses no capricho	CAPRICHO NÓS MAS DEUSES (NÃO)
ra além do seu domínio"", 	ALÉM SEU DOMÍNIO ELE RA
Maria, se eu te chamar,	MARIA SE EU NOME
Maria, se eu te chamar,	MARIA SE EU NOME
Maria, vem cá dizer	CÁ MARIA DIZER VIR
Que não podes cá chegar.	CÁ CHEGAR TU PODER (NÃO)
Assim te consigo ver.	ASSIM VER EU CONSEGUIR
Oiço, como se o cheiro	COMO SE CHEIRO EU OUVIR
De flores me acordasse...	MULHER FLOR EU ACORDAR
De influência e disfarce.	INFLUÊNCIA DISFARCE
Impalpável lembrança,	IMPALPÁVEL LEMBRANÇA
Sorriso de ninguém,	SORRISO NINGUÉM
Com aquela esperança	AQUELE ESPERANÇA
Que nem esperança tem...	NEM ESPERANÇA TER
Que importa, se sentir	IMPORTAR SENTIR
É não se conhecer?	{CONHECER}(q)
Oiço, e sinto sorrir	EU OUVIR SORRIR EU SENTIR
O que em mim nada quer.	O NADA EU QUERER
Não	NÃO
quero rosas, desde que haja rosas.	DESQUE ROSAS ROSAS EU QUERER HAVER
Quero-as só quando não as possa haver	SÓ AS QUERER QUANDO AS HAVER PODER (NÃO)
Que hei-de fazer das coisas	COISA FAZER 1
Que qualquer mão pode colher?	{QUALQUER MÃO COLHER PODER}(q)
Não quero a noite senão quando a aurora	SENÃO NOITE QUANDO AURORA (NÃO)
A fez em ouro e azul se diluir.	OURO ELE FAZER AZUL DILUIR
O que a minha alma ignora	O ALMA MEU IGNORAR
É isso que quero possuir.	ISSO POSSUIR QUERER
Para quê?... Se o soubesse, não faria	SE ELE SABER O FAZER (NÃO)
Versos para dizer que inda o não sei.	INDA VERSOS DIZER O NÃO_SABER {NÃO}(headshake)
Tenho a alma pobre e fria...	POBRE FRIO ALMA EU TER
Ah, com que esmola a aquecerei?...	AH EU AQUECER ESMOLAR
Na Casa de Saúde de Cascais	CASA SAÚCASCAIS
inclui:— 1) Introdução, entrevista com António Mora	INTRODUÇÃO ENTREVISTA 1 ANTÓNIO MORA INCLUIR
2) Alberto Caeiro	2 ALBERTO CAEIRO
3) Ricardo Reis	RICARDO REIS
4) Prolegómenos de António Mora	4 PROLEGÓMENOS ANTÓNIO MORA
5) Fragmentos	5 FRAGMENTOS
Vida e Obra do engenheiro Álvaro de Campos	VIDA OBRA ENGENHEIRO ÁLVARO CAMPOS
Livro do Desassossego	LIVRO DO DESASSOSSEGO
escrito por Vicente Guedes	VICENTE GUEDES ESCREVER
publicado por Fernando Pessoa	FERNANDO PESSOA PUBLICAR
Busco-me — não encontro. Quero, e não posso.	EU BUSCAR EU ENCONTRO EU QUERER EU PODER (NÃO)
Sem mim, o sol nasce e se apaga; sem mim a chuva cai e o vento geme. Não são por mim as estações, nem o curso dos meses, nem a passagem das horas.	EU NASCER CHUVA APAGA EU CAIR VENTO GEMER EU MULHER ESTAÇÃO NEM NEM MESES PASSAGEM HORAS (NÃO)
Dono do mundo em mim, como de terras que não posso trazer comigo (...)	DONO EU MUNDO TERRAS COMIGO TRAZER PODER (NÃO)
AH, UM SONETO...	AH SONETO
Meu coração é um almirante louco 	CORAÇÃO ALMIRANTE LOUCO MEU
que abandonou a profissão do mar 	TRABALHO PROFISSÃO MAR ELE ABANDONAR
em casa a passear, a passear...	CASA PASSEAR PASSEAR
No movimento (eu mesmo me desloco 	MESMO EU MOVIMENTO EU DESLOCAR
nesta cadeira, só de o imaginar) 	SÓ ESTE CADEIRA IMAGINAR
o mar abandonado fica em foco 	MAR FOCO ABANDONAR FICAR
nos músculos cansados de parar.	MÚSCULOS PARAR CANSAR
Há saudades nas pernas e nos braços. 	PERNAS SAUDADES BRAÇOS HAVER
Há saudades no cérebro por fora. 	FORA SAUDADES CÉREBRO HAVER
Há grandes raivas feitas de cansaços.	FAZER CANSAÇOS ELE TER MUITO FAZER
Mas — esta é boa! — era do coração 	MAS ESTE BOA CORAÇÃO
que eu falava... e onde diabo estou eu agora 	EU FALAR ONDE DIABO EU AGORA
com almirante em vez de sensação?...	ALMIRANTE SENSAÇÃO
Boca com olhos por cima	CIMA OLHO
Boca com olhos por cima	CIMA OLHO
Ambos a estar a sorrir...	AMBOS SORRIR
Já sei onde está a rima	JÁ ONDE RIMA
Do que não ouso pedir.	DO QUE PEDIR EU OUSAR (NÃO)
Nuvens sobre a floresta...	MULHER NUVEM FLORESTA
Sombra com sombra a mais...	SOMBRA MAIS
Minha tristeza é esta —	MEU TRISTEZA ESTE
A das coisas reais.	COISA
A outra, a que pertence	A OUTRA PERTENCER
Aos sonhos que perdi,	SONHOS PERDER
Nesta hora não me vence,	ESTE HORA EU VENCER (NÃO)
Se a há, não a há aqui.	AQUI SE HAVER A HAVER (NÃO)
Mas esta, a do arvoredo	ESTA MAS ARVOREDO
Que o céu sem luz invade,	LUZ INVADIR
Faz-me receio e medo...	EU RECEIO MEDO FAZER
Quem foi minha saudade?	SAUDADE MEU IR QUEM (NÃO)
ELEGIA NA SOMBRA	ELEGIA NA SOMBRA
Lenta, a raça esmorece, e a alegria	ELE LENTAR RAÇA ALEGRIA ESMORECER
É como uma memória de outrem. Passa	COMO MEMÓRIA OUTREM ELE PASSADO
Um vento frio na nossa nostalgia	VENTO FRIO NOSTALGIA NOSSO
E a nostalgia touca a desgraça.	NOSTALGIA DESGRAÇA TOUCAR
Pesa em nós o passado e o futuro.	PESA PASSADO NÓS FUTURO
Dorme em nós o presente. E a sonhar	PRESENTE NÓS DORMIR SONHAR
A alma encontra sempre o mesmo muro, 	MESMO ALMA SEMPRE MURO ENCONTRAR
E encontra o mesmo muro ao despertar.	MESMO MURO DESPERTAR ELE ENCONTRAR
Quem nos roubou a alma? Que bruxedo	NÓS ALMA ROUBAR QUEM BRUXEDO (NÃO)
De que magia incógnita e suprema	SUPREMO MAGIA INCÓGNITO
Nos enche as almas de dolência e medo 	NÓS ALMAS DOLÊNCIA MEDO ENCHER
Nesta hora inútil, apagada e extrema?	{INÚTIL ESTE HORA EXTREMO APAGAR}(q)
Os heróis resplandecem a distância 	HERÓIS DISTÂNCIA RESPLANDECER
Num passado impossível de se ver	IMPOSSÍVEL PASSADO VER
Com os olhos da fé ou os da ânsia;	OLHO OU FÉ ÂNSIA
Lembramos névoas, sonhos a esquecer.	NÉVOAS SONHOS NÓS LEMBRAR ESQUECER
Que crime outrora feito, que pecado	OUTRORA QUE CRIME PECADO FAZER
Nos impôs esta estéril provação	NÓS PROVAÇÃO ESTE ESTÉRIL IMPOR
Que é indistintamente nosso fado 	INDISTINTO NOSSO FADO
Como o sentimos bem no coração?	BEM CORAÇÃO O SENTIR COMO (NÃO)
Que vitória maligna conseguimos —	MALIGNO VITÓRIA CONSEGUIR
Em que guerras, com que armas, com que armada? —	GUERRAS ARMADA ARMAS QUE (NÃO)
Que assim o seu castigo irreal sentimos	ASSIM CASTIGO IRREAL NÓS SENTIR
Colado aos ossos desta carne errada?	{ESTE OSSOS CARNE COLAR ERRAR}(q)
Terra tão linda com heróis tão grandes, 	TÃO TERRA LINDO HERÓIS TÃO GRANDE
Bom Sol universal localizado 	UNIVERSAL BOM SOL LOCALIZAR
Pelo melhor calor que aqui expandes, 	AQUI CALOR EXPANDIR
Calor suave e azul só a nós dado.	CALOR SUAVE SÓ AZUL NÓS DAR
Lá longe na floresta...	LÁ LONGE FLORESTA
Endymion, Endymion...	ENDYMION ENDYMION
Assim choram os deuses...	ASSIM DEUSES ELES CHORAR
Na opinião da Comissão, a atenção do público, de cuja aprovação tem que depender qualquer reforma do calendário, deve ser chamada exclusivamente (para que possa compreender as suas respectivas vantagens e desvantagens) sobre os princípios fundamentais de três principais sistemas de reforma.	QUE OPINIÃO APROVAÇÃO QUALQUER CALENDÁRIO RESPECTIVO ATENÇÃO ATENÇÃO ATENÇÃO ATENÇÃO COMISSÃO ATENÇÃO ATENÇÃO ATENÇÃO FUNDAMENTAL PRINCIPAL ATENÇÃO PRINCÍPIO SEU DEPENDER NOME COMPREENDER DEVER
O ano compõe-se de 52 semanas — ou sejam 364 dias —, mais 1 ou 2 dias a mais conforme o ano seja normal ou bissexto.	ANO 52 SEMANA COMPOR OU MAIS 364 1 DIA OU MAIS 2 DIA ANO NORMAL
— O primeiro dos três principais sistemas de reforma escolhidos pela Comissão esforça-se por simplificar a reforma o mais possível e por causar a menor perturbação nos hábitos e costumes correntes, pelo processo de igualização de três dos quatro trimestres de que o ano se compõe.	PRIMEIRO PRINCIPAL ESFORÇAR O SIMPLIFICAR MULHER REFORMA REFORMA 3 SISTEMA POSSÍVEL COMISSÃO MAIS ESFORÇAR ESCOLHER MENOR PERTURBAÇÃO HÁBITOS CAUSAR COSTUME ANO PROCESSO 3 IGUALIZAÇÃO 4 TRIMESTRE COMPOR
Como no segundo sistema, este ""dia em branco"" poderia inserir-se entre o 28.º dia do 13.º mês e o 1.º dia do 1.º mês do ano seguinte, ou em qualquer outra altura.	COMO DOIS OUTRO ESTE QUALQUER SISTEMA DIA BRANCO MÊS ANO ALTURA ELE INSERIR PODER
Devido à circunstância de que o calendário actual não é “fixo”, mas varia de ano para ano, a sua reprodução exacta dá-se apenas de 28 em 28 anos. Em virtude disto, não podem as datas de acontecimentos periódicos ser, em qualquer caso, claramente determinadas.	CALENDÁRIO DEVER CIRCUNSTÂNCIA MAS REPRODUÇÃO ANO ANO SEU APENAS 28 28 ANO VARIAR DAR CLARO PERIÓDICOS QUALQUER DATAS VIRTUDE EU DISTAR ACONTECIMENTOS CASO DETERMINAR (NÃO)
No fecho do seu relatório, dizem os peritos que formam a Comissão que tiveram impressão nítida de que a opinião pública não estava preparada, mesmo onde acolhesse bem uma reforma, para sugerir uma reforma imediata num sentido determinado... A opinião esclarecida e organizada deveria, em cada país, analisar detidamente os princípios em que o problema assenta, e só assim se poderia escolher, quando chegar a ocasião, o mais conveniente de entre os vários sistemas. Deveria haver, especialmente, um novo exame, da parte das corporações religiosas que entre si se opõem, do princípio do ""dia em branco""; uma discussão do assunto, em cada país, entre essas corporações e outras entidades interessadas na matéria; um exame por estatísticos e economistas da importância relativa da semana e do trimestre como unidades da vida económica, em oposição ao mês, para se estabelecer uma base para se determinar a escolha entre o ano de doze e o de treze meses; e uma definição das vantagens de uma reforma limitada.	MULHER OPINIÃO PÚBLICA IMPRESSÃO FECHO FECHO FECHO FECHO REFORMA OPINIÃO SEU ACOLHER SENTIDO FORMAR TER PREPARAR SUGERIR DETERMINAR ESCLARECER DETIDO PROBLEMA ORGANIZAR CADA ELE DEVER PAÍS PRINCÍPIOS DEVER ANALISAR ASSENTAR SÓ ASSIM ESCOLHER PODER QUANDO VÁRIOS CONVENIENTE SISTEMA OCASIÃO MAIS CHEGAR ESPECIAL ESSE CADA EXAME ASSUNTO PAÍS MULHER CORPORAÇÃO HAVER DEVER OPOR ENTIDADES OUTRO MATÉRIA ESTATÍSTICOS EXAME INTERESSAR ECONOMISTAS RELATIVO IMPORTÂNCIA SEMANA TRIMESTRE UNIDADE VIDA OPOSIÇÃO BASE MÊS ESCOLHA 12 12 ANO 12 ESTABELECER DETERMINAR 13 MÊS DEFINIÇÃO MULHER VANTAGEM REFORMA LIMITAR (NÃO)
É também essencial, continua a Comissão, que as investigações neste sentido [...] sejam coordenadas e organizadas em cada país numa base oficial ou semioficial. Uma organização desta espécie tornaria possível o formar-se, nos principais países, aquele corpo de união pública que presentemente ainda não existe, e sem o qual seria prematuro tentar estabelecer qualquer acordo internacional .	TAMBÉM ESSENCIAL MULHER INVESTIGAÇÃO ESTE COMISSÃO CONTINUAR SENTIDO COORDENAR OFICIAL CADA PAÍS SEMIOFICIAL BASE OU ORGANIZAR PRESENTE AQUELE ORGANIZAÇÃO ESTE ESPÉCIE POSSÍVEL UNIÃO FORMAR TORNAR EXISTIR AINDA_NÃO O PREMATURO QUALQUER TENTAR INTERNACIONAL ACORDO ESTABELECER {NÃO}(headshake)
Só lamento o não ser criança, para que pudesse crer nos meus sonhos, o não ser doido para que pudesse afastar da alma de todos os que me cercam, [...]	SÓ QUE TODO CRIANÇA MEU OS OS OS DOIDO ALMA OS CRER AFASTAR CERCAR (NÃO)
Foge a todas as provocações materiais. Há no início a tentação de te masturbares. Há a do álcool, a do ópio, a do (...). Tudo isso é esforço e procura. Para seres um bom sonhador, tens de não ser senão sonhador. Ópio e morfina compram-se nas farmácias — como, pensando nisto queres poder sonhar através deles? Masturbação é uma coisa física — como queres tu que (...)	MATERIAIS TODAS AS MULHER PROVOCAÇÃO FUGIR INÍCIO TENTAÇÃO TU HAVER HAVER ÁLCOOL A ÓPIO HAVER TUDO ISSO ESFORÇO PROCURA SENÃO BOM SONHADOR TER SONHADOR ÓPIO MORFINA QUERER FARMÁCIAS ELE ELES PENSAR COMPRAR SONHAR PODER COMO MASTURBAÇÃO COISA TU QUERER (NÃO)
Que nos diz: Não incomodo.	NÓS DIZER INCOMODAR (NÃO)
Sou mais velho que o Tempo e que o Espaço porque sou consciente. As coisas derivam de mim; a Natureza inteira é a [...] das minhas sensações.	VELHO TEMPO MAIS PORQUE QUE ESPAÇO CONSCIENTE COISA NATUREZA MEU DERIVAR EU MULHER SENSAÇÃO
Tanta beleza dada e glória ida! 	TANTO BELEZA IDA GLÓRIA DAR
Tanta esperança que, depois da glória,	DEPOIS TANTO ESPERANÇA GLÓRIA
Só conhecem que é fácil a descida 	SÓ DESCIDA CONHECER FÁCIL
Das encostas anónimas da história!	ANÓNIMAS HISTÓRIA ENCOSTAS
Tanto, tanto! Que é feito de quem foi?	TANTO TANTO IR FAZER QUEM (NÃO)
Ninguém volta? No mundo subterrâneo	{NINGUÉM VOLTA SUBTERRÂNEO MUNDO}(q)
Onde a sombria luz por nula dói,	SOMBRIO LUZ NULO DÓI
Pesando sobre onde já esteve o crânio,	JÁ ONDE CRÂNIO
Não restitui Plutão [a ver?] o céu 	PLUTÃO VER RESTITUIR NÃO CÉU (NÃO)
Um herói ou o ânimo que o faz, 	HERÓI OU ÂNIMO O FAZER
Como Eurídice dada à dor de Orfeu;	COMO EURÍDICE DOR ORFEU DAR
Ou restituiu e olhámos para trás?	{OU ELE RESTITUIR NÓS OLHAR}(q)
Nada. Nem fé nem lei, nem mar nem porto.	NADA NEM FÉ NEM NEM LEI MAR NEM PORTO
Só a prolixa estagnação das mágoas,	SÓ PROLIXO ESTAGNAÇÃO MÁGOAS
Como nas tardes baças, no mar morto,	COMO BAÇAS TARDES MAR MATAR
A dolorosa solidão das águas.	DOLOROSO SOLIDÃO ÁGUAS
Povo sem nexo, raça sem suporte,	NEXO POVO SUPORTE RAÇA
Que, agitada, indecisa, nem repare	INDECISO AGITAR NEM ELE REPARIR
Em que é raça e que aguarda a própria morte	RAÇA PRÓPRIO MORTE ELE AGUARDAR
Como a um comboio expresso que aqui pare.	AQUI COMBOIO PARIR
Torvelinho de doidos, descrença 	TORVELINHO DOIDOS DESCRENÇA
Da própria consciência de se a ter,	PRÓPRIO CONSCIÊNCIA TER
Nada há em nós que, firme e crente, vença 	NADA NÓS FIRME HAVER CRENTE ELE VENCER
Nossa impossibilidade de querer.	IMPOSSIBILIDADE NOSSO QUERER
Plagiários da sombra e do abandono, 	PLAGIÁRIOS SOMBRA ABANDONO
Registramos, quietos e vazios,	VAZIOS QUIETOS NÓS REGISTRAR
Os sonhos que há antes que venha o sono 	ANTES QUE SONHOS VIR SONO HAVER
E o sono inútil que nos deixa frios.	SONO FRIOS NÓS DEIXAR
Oh, que há-de ser de nós? Raça que foi	{ELE 1 NÓS RAÇA IR}(q)
Como que um novo sol ocidental	COMO QUE NOVO OCIDENTAL
Que houve por tipo o aventureiro e o herói 	AVENTUREIRO TIPO HERÓI HAVER
E outrora teve nome Portugal...	OUTRORA NOME PORTUGAL TER
(Fala mais baixo! Deixa a tarde ser	BAIXO MAIS ELE FALAR TARDE NÃO ESTAR CERTO ELE DEIXAR
Ao menos uma extrema quietação	AO MENOS EXTREMO QUIETAÇÃO
Que por ser fim faça menos doer	FIM MENOS FAZER DOER
Nosso descompassado coração.	CORAÇÃO NOSSO DESCOMPASSAR
Fala mais baixo! Somos sem remédio,	BAIXO MAIS ELE FALAR REMÉDIO
Salvo se do ermo abismo onde Deus dorme	ONDE EU SALVAR ABISMO ERMO DEUS DORMIR
Nos venha despertar do nosso tédio	NÓS TÉDIO NOSSO DESPERTAR VIR
Qualquer obscuro sentimento informe.	QUALQUER OBSCURO INFORME SENTIMENTO
Silêncio quase? Nada dizes! Calas 	{QUASE SILÊNCIO NADA DIZER CALAS}(q)
A esperança vazia em que te acho,	ESPERANÇA VAZIO ACHAR TU
Pátria. Que doença de teu ser se exala? 	{PÁTRIA DOENÇA EXALAR}(q)
Tu nem sabes dormir. Fala mais baixo!)	TU NEM TU SABER DORMIR BAIXO MAIS ELE FALAR
Ó incerta manhã de nevoeiro 	Ó INCERTO MANHÃ NEVOEIRO
Em que o rei morto vivo tornará	VIVO REI MORTO ELE TORNAR
Ao povo ignóbil e o fará inteiro —	POVO IGNÓBIL O INTEIRO ELE FAZER
És qualquer coisa que Deus quer ou dá?	{DEUS QUALQUER COISA QUERER OU ELE DAR}(q)
Quando é a tua Hora e o teu Exemplo? 	EXEMPLO HORA TEU TEU QUANDO (NÃO)
Quando é que vens, do fundo do que é dado, 	QUANDO VIR FUNDO DO QUE DAR
Cumprir teu rito, reabrir teu Templo	TEU RITO TEU REABRIR TEMPLO CUMPRIR
Vendando os olhos lúcidos do Fado?	{OLHO LÚCIDOS FADO VENDAR}(q)
Quando é que soa, no deserto de alma	QUANDO DESERTO ALMA SOAR
Que Portugal é hoje, sem sentir,	HOJE PORTUGAL SENTIR
Tua voz, como um balouço de palma	TEU COMO VOZ BALOUÇO PALMA
Ao pé do oásis de que possa vir?	{PÉ OÁSIS VIR PODER}(q)
Quando é que esta tristeza desconforme 	QUANDO ESTE TRISTEZA DESCONFORME
Verá, desfeita a tua cerração, 	ELE VER CERRAÇÃO TEU DESFAZER
Surgir um vulto, no nevoeiro informe, 	INFORME VULTO NEVOEIRO SURGIR
Que nos faça sentir o coração?	{NÓS CORAÇÃO SENTIR FAZER}(q)
Quando? Estagnamos. A melancolia 	QUANDO NÓS ESTAGNAR MELANCOLIA
Das horas sucessivas [?] que a alma tem	SUCESSIVAS HORAS ALMA TER
Enche de tédio a noite e chega o dia 	TÉDIO NOITE ELE ENCHER DIA ELE CHEGAR
E o tédio aumenta porque o dia vem.	TÉDIO PORQUE DIA AUMENTAR
Pátria, quem te feriu e envenenou? 	{PÁTRIA QUEM TU FERIR ELE ENVENENAR}(q)
Quem, com suave e maligno fingimento	SUAVE FINGIMENTO MALIGNO
Teu coração suposto sossegou 	CORAÇÃO SUPOSTO TEU SOSSEGAR
Com abundante e inútil alimento?	{ALIMENTO ABUNDANTE INÚTIL}(q)
Quem faz que durmas mais do que dormias?	MAIS DORMIR FAZER QUEM (NÃO)
Que faz que jazas mais que até aqui?	{ATÉ JAZER MAIS AQUI FAZER}(q)
Aperto as tuas mãos: como estão frias! 	MÃOS COMO EU APERTAR FRIAS TEU
Mão do meu ser que tu amas, que é de ti?	{MÃO MULHER AMO TI}(q)
Vives, sim, vives porque não morreste...	SIM PORQUE TU VIVER VIVER MORRER (NÃO)
Mas a vida que vives é um sono	MAS VIDA SONO VIVER
Em que indistintamente o teu ser veste	INDISTINTO VESTE
Todos os sambenitos do abandono.	TODO SAMBENITOS ABANDONO
Dorme, ao menos de vez. O Desejado 	AO MENOS VEZ ELE DORMIR DESEJADO
Talvez não seja mais que um sonho louco 	SONHO LOUCO MAIS AINDA_{NÃO}(headshake)
De quem, por muito ter, Pátria, amado, 	QUEM PÁTRIA TER AMAR
Acha que todo o amor por ti é pouco.	TODO AMOR ACHAR POUCO TU
Dorme, que eu durmo, só de te saber 	SÓ EU TU SABER DORMIR
Presa da inquietação que não tem nome	PRESA INQUIETAÇÃO NOME NÃO_TER {NÃO}(headshake)
E nem revolta ou ânsia sabes ter 	NEM REVOLTA OU SABER ÂNSIA SABER TER
Nem da esperança sentes sede ou fome.	NEM ESPERANÇA SEDE OU FOME SENTIR
Dorme, e a teus pés teus filhos, nós que o somos, 	ELE DORMIR TEU PÉS TEU NÓS O
Colheremos, inúteis e cansados	INÚTEIS NÓS COLHER CANSAR
O agasalho do amor que ainda pomos 	AINDA AGASALHO AMOR PÔR
Em ter teus pés gloriosos por amados.	AMADOS PÉS GLORIOSOS TER
Dorme, mãe Pátria, nula e postergada, 	MÃE NULO PÁTRIA DORMIR POSTERGAR
Não creias nele, porque tudo é nada,	PORQUE TUDO NELE NADA CRER (NÃO)
E nunca vem aquilo que há-de vir.	AQUILO VIR VIR 1 NUNCA NÃO
Dorme, que a tarde é finda e a noite vem.	ELE DORMIR FINDO TARDE NOITE VIR
Dorme que as pálpebras do mundo incerto	INCERTO PÁLPEBRAS MUNDO ELE DORMIR
Baixam solenes, com a dor que têm,	SOLENES DOR BAIXAR TER
Sobre o mortiço olhar inda desperto.	INDA MORTIÇO DESPERTO OLHAR
Dorme, que tudo cessa, e tu com tudo, 	TUDO TU CESSAR TUDO DORMIR
Quererias viver eternamente, 	ETERNO TU QUERER VIVER
Ficção eterna ante este espaço mudo	ETERNO FICÇÃO ESTE ESPAÇO MUDAR
Que é um vácuo azul? Dorme, que nada sente	{VÁCUO AZUL NADA SENTIR DORMIR}(q)
Nem paira mais no ar, que fora almo 	NEM MAIS PAIRAR ALMO AR IR
Se não fora a nossa alma erma e vazia,	SE ERMO ALMA VAZIO NOSSO EU IR (NÃO)
Que o nosso fado, vento frio e calmo 	FRIO FADO CALMO NOSSO
E a tarde de nós mesmos, baça e fria	TARDE BAÇO FRIO MESMOS
Como longínquo sopro altivo e humano 	COMO SOPRO LONGÍNQUO ALTIVO HUMANO
Essa tarde monótona e serena	ESSE TARDE MONÓTONO SERENO
Em que, ao morrer o imperador romano 	ROMANO IMPERADOR MORRER
Disse: Fui tudo, nada vale a pena.	IR TUDO NADA PENA DIZER VALER
1. A República Nova	1 REPÚBLICA NOVA
2. Open Letter	2 OPEN LETTER
3. Impermanence	3 IMPERMANENCE
4. Diálogos sobre a Tirania	4 DIÁLOGOS TIRANIA
5. Portugal	5 PORTUGAL
a) Caeiro	CAEIRO
b) O Regresso dos Deuses — Fernando Pessoa	O REGRESSO DOS DEUSES B FERNANDO PESSOA
c) R. Reis	R. REIS
d) Prolegómenos a uma reformação do Pag. — António Mora	D PROLEGÓMENOS REFORMAÇÃO PAG
e) Novas Odes — R. Reis	R. REIS
a) Prometheus Revinctus	PROMETHEUS REVINCTUS
b) Itinerário	B ITINERÁRIO
c) Livro do Desassossego	LIVRO DO DESASSOSSEGO
d) Ligeia	D LIGEIA
e) D. Sebastião	D. SEBASTIÃO
REALIDADE	REALIDADE
Sim, passava aqui frequentemente há vinte anos...	SIM AQUI FREQUENTE HAVER 20 ANO ELE PASSADO
Nesta localidade da cidade...	ESTE LOCALIDADE CIDADE
Há vinte anos!...	20 ANO HAVER
O que eu era então! Ora, era outro...	ENTÃO O EU ORA OUTRO
Há vinte anos, e as casas não sabem de nada...	20 ANO HAVER CASA NADA ELES NÃO_SABER {NÃO}(headshake)
Sei eu o que é útil ou inútil?)... 	{INÚTIL SABER EU O ÚTIL OU}(q)
Tento reconstruir na minha imaginação 	EU TENTAR IMAGINAÇÃO MEU RECONSTRUIR
Quem eu era e como era quando por aqui passava 	EU QUEM COMO QUANDO AQUI ELE PASSADO
Há vinte anos... 	20 ANO HAVER
Não me lembro, não me posso lembrar.	EU LEMBRAR EU EU LEMBRAR PODER (NÃO)
O outro que aqui passava então, 	ENTÃO OUTRO AQUI PASSADO
Se existisse hoje, talvez se lembrasse... 	HOJE SE TALVEZ ELE EXISTIR LEMBRAR
Há tanta personagem de romance que conheço melhor por dentro 	MELHOR TANTO PERSONAGEM ROMANCE DENTRO HAVER CONHECER
Do que esse eu-mesmo que há vinte anos passava aqui!	AQUI DO QUE ESSE EU MESMO 20 ANO HAVER PASSADO
Sim, o mistério do tempo.	SIM MISTÉRIO TEMPO
Sim, o não se saber nada,	SIM NADA SABER (NÃO)
Sim, o termos todos nascido a bordo.	SIM TODO TERMOS NASCIDO
Sim, sim, tudo isso, ou outra forma de o dizer...	SIM TUDO ISSO SIM OU FORMA OUTRO DIZER
Daquela janela do segundo-andar, ainda idêntica a si mesma, 	AINDA JANELA AQUELE IDÊNTICO SI MESMA
Debruçava-se então uma rapariga mais velha que eu, mais lembradamente de azul.	MAIS EU MULHER RAPAZ LEMBRADO AZUL DEBRUÇAR
Hoje, se calhar, está o quê?	HOJE SE CALHAR QUÊ (NÃO)
Podemos imaginar tudo do que nada sabemos.	TUDO NADA SABER IMAGINAR PODER
Estou parado física e moralmente: não quero imaginar nada...	FÍSICO PARAR MORAL NADA IMAGINAR (NÃO)
Houve um dia em que subi esta rua pensando alegremente no futuro. 	ALEGRE ESTE RUA DIA FUTURO PENSAR HAVER EU SUBIR
Pois Deus dá licença que o que não existe seja fortemente iluminado. 	FORTE O DEUS POIS LICENÇA DAR ILUMINAR EXISTIR (NÃO)
Hoje, descendo esta rua, nem no passado penso alegremente. 	HOJE ESTE RUA DESCER NEM ALEGRE PASSADO EU PENSAR
Quando muito, nem penso... 	QUANDO NEM EU PENSAR
Tenho a impressão que as duas figuras se cruzaram na rua, nem então nem agora, 	ENTÃO FIGURA IMPRESSÃO 2 NEM RUA NEM AGORA TER CRUZAR
Mas aqui mesmo, sem tempo a perturbar o cruzamento.	MAS AQUI MESMO TEMPO CRUZAMENTO PERTURBAR
Olhámos indiferentemente um para o outro. 	INDIFERENTE 1 OUTRO NÓS OLHAR
E eu o antigo lá subi a rua imaginando um futuro girassol. 	LÁ ANTIGO IMAGINAR RUA FUTURO GIRASSOL EU SUBIR
E eu o moderno lá desci a rua não imaginando nada.	LÁ DESCER EU MODERNO RUA NADA DESCER IMAGINAR (NÃO)
Talvez isto realmente se desse...	TALVEZ REAL ELE EU DAR
Verdadeiramente se desse...	VERDADEIRO SE EU DAR
Sim, carnalmente se desse...	SIM CARNAL EU DAR
Sim, talvez...	TALVEZ SIM
Quem lavra julga que lavra	QUEM MULHER LAVRAR LAVRAR JULGAR
Quem lavra julga que lavra	QUEM MULHER LAVRAR LAVRAR JULGAR
Mas quem lavra é o que acontece...	MAS QUEM LAVRA ACONTECER
Não me dás uma palavra	PALAVRA EU DAR (NÃO)
E a palavra não me esquece.	PALAVRA EU ESQUECER (NÃO)
Não sei se é sonho, se realidade,	SE SONHO REALIDADE EU NÃO_SABER {NÃO}(headshake)
Se uma mistura de sonho e vida,	SE MISTURA SONHO VIDA
Aquela terra de suavidade	AQUELE TERRA SUAVIDADE
Que na ilha extrema do sul se olvida.	EXTREMO ILHA SUL ELE OLVIDAR
É a que ansiamos. Ali, ali	A ANSIAR ALI ALI
A vida é jovem e o amor sorri	VIDA JOVEM AMOR SORRIR
Talvez palmares inexistentes,	TALVEZ PALMARES INEXISTENTES
Áleas longínquas sem poder ser,	LONGÍNQUAS ÁLEAS NÃO ESTAR CERTO PODER
