Diana através dos ramos	ATRAVÉS DIANA RAMOS
Perco-me, por isso, às vezes, numa imaginação fútil de que espécie de gente serei para os que me vêem, como é a minha voz, que tipo de figura deixo escrita na memória involuntária dos outros, de que maneira os meus gestos, as minhas palavras, a minha vida aparente se gravam nas retinas da interpretação alheia	COMO QUE VOZ MEU MEU MEU PALAVRAS APARENTE APARENTE APARENTE APARENTE APARENTE APARENTE APARENTE RETINAS INTERPRETAÇÃO MEU GRAVAR APARENTE VER VER ESCREVER
Não consegui nunca ver-me de fora	EU VER CONSEGUIR (NÃO)
Não há espelho que nos dê a nós como foras, porque não há espelho que nos tire de nós mesmos	PORQUE IR ESPELHO NÓS NÓS NÓS MESMOS ESPELHO DAR HAVER (NÃO)
Era precisa outra alma, outra colocação do olhar e do pensar	OUTRO OUTRO ELE PRECISAR ALMA COLOCAÇÃO OLHAR PENSAR
Se eu fosse actor prolongado de cinema, ou gravasse em discos audíveis a minha voz alta, estou certo que do mesmo modo ficaria longe de saber o que sou do lado de lá, pois, queira o que queira, grave-se o que de mim se grave, estou sempre aqui dentro, na quinta de muros altos da minha consciência de mim.	SE EU ACTOR CINEMA FOSSAR PROLONGAR OU LÁ POIS VOZ MEU CERTO O MUROS MEU O O O O O LADO GRAVE CONSCIÊNCIA ALTOS SABER GRAVE QUERER ESTAR
Não sei se os outros serão assim, se a ciência da vida não consistirá essencialmente em ser tão alheio a si mesmo que instintivamente se consegue um alheamento e se pode participar da vida como estranho à consciência; ou se os outros, mais ensimesmados do que eu, não serão de todo a bruteza de não serem senão eles, vivendo exteriormente por aquele milagre pelo qual as abelhas formam sociedades mais organizadas que qualquer nação, e as formigas comunicam entre si com uma fala de antenas mínimas que excede nos resultados a nossa complexa ausência de nos entendermos.	ASSIM ESSENCIAL TÃO INSTINTIVO OUTROS SE CIÊNCIA VIDA ALHEIO SI MESMO QUE CONSEGUIR ALHEAMENTO CONSISTIR NÃO NÃO_SABER COMO VIDA ESTRANHO CONSCIÊNCIA PARTICIPAR PODER OU SENÃO SE MAIS EXTERIOR ABELHAS QUALQUER AQUELE BRUTEZA ELES OUTROS DO QUE EU TODO ENSIMESMAR MILAGRE NAÇÃO MAIS NAÇÃO VIVER FORMAR ORGANIZAR FORMIGAS NOSSO SI ANTENAS FALA RESULTADOS AUSÊNCIA NÓS COMUNICAR EXCEDER ENTENDER {NÃO}(headshake)
A geografia da consciência da realidade é de uma grande complexidade de costas, acidentadíssima de montanhas e de lagos	GEOGRAFIA MONTANHAS REALIDADE GRANDE COSTAS ACIDENTADO LAGOS
E tudo me parece, se medito de mais, uma espécie de mapa como o do Pays du Tendre ou das Viagens de Gulliver, brincadeira da exactidão inscrita num livro irónico ou fantasista para gáudio de entes superiores, que sabem onde é que as terras são terras.	TUDO EU MAIS DU O MAPA PAYS DU TENDRE MEDITAR PARECER OU VIAGENS DT(G-U-L-L-I-V-E-R) BRINCADEIRA IRÓNICO EXACTIDÃO LIVRO INSCREVER OU ONDE FANTASISTA TERRAS GÁUDIO ENTES TERRAS SABER
Tudo é complexo para quem pensa, e sem dúvida o pensamento o torna mais complexo por volúpia própria	TUDO COMPLEXO PENSAR PRÓPRIO PENSAMENTO DÚVIDA MAIS O VOLÚPIA COMPLEXO TORNAR
Mas quem pensa tem a necessidade de justificar a sua abdicação com um vasto programa de compreender, exposto, como as razões dos que mentem, com todos os pormenores excessivos que descobrem, com o espalhar da terra, a raiz da mentira.	MAS QUEM SEU TODO PORMENORES ABDICAÇÃO ABDICAÇÃO ABDICAÇÃO ABDICAÇÃO RAIZ MENTIRA ESPALHAR ABDICAÇÃO TER JUSTIFICAR EXPOR COMPREENDER MENTIR DESCOBRIR
Tudo é complexo, ou sou eu que o sou	TUDO COMPLEXO OU EU O
Mas, de qualquer modo, não importa porque, de qualquer modo, nada importa	MAS PORQUE NADA QUALQUER QUALQUER MODO MODO ELE IMPORTAR (NÃO)
Tudo isto, tocas estas considerações extraviadas da rua larga, vegeta nos quintais dos deuses exclusos como trepadeiras longe das paredes	TOCAR DEUSES TUDO ISTO ESTE MULHER CONSIDERAÇÃO QUINTAIS RUA LARGO VEGETAR PAREDES EXCLUSOS TOCAR EXTRAVIAR
E sorrio, na noite em que concluo sem fim estas considerações sem engrenagem da ironia vital que as faz surgir de uma alma humana, arfa, de antes dos astros, das grandes razões do Destino.	ESTE IRONIA GRANDE GRANDE GRANDE GRANDE GRANDE GRANDE MULHER RAZÃO DESTINO SURGIR ARFAR SORRIR CONCLUIR FAZER FAZER
Aos deuses peço só que me concedam	SÓ DEUSES EU PEDIR CONCEDER
O nada lhes pedir	NADA LHES PEDIR
A dita é um jugo	DIZER JUGO
E o ser feliz oprime	FELIZ ELE OPRIMIR
Porque é um certo estado.	PORQUE CERTO ESTADO
Não quieto nem inquieto meu ser calmo	QUIETO NEM INQUIETO CALMO MEU
Quero erguer alto acima de onde os homens	ONDE ALTO HOMEM ERGUER EU QUERER
Têm prazer ou dores.	PRAZER OU MULHER DOR ELES TER
Quando, Lídia, vier o nosso Outono	QUANDO MULHER LÍDIO NOSSO OUTONO VIR
Com o Inverno que há nele, reservemos	INVERNO NELE RESERVAR HAVER
Um pensamento, não para a futura	PENSAMENTO FUTURA (NÃO)
Primavera, que é de outrem,	PRIMAVERA OUTREM
Nem para o Estio, de quem somos mortos,	NEM ESTIO MATAR
Senão para o que fica do que passa —	SENÃO O DO QUE FICAR PASSADO
O amarelo actual que as folhas vivem	AMARELO FOLHAS VIVER
E as torna diferentes.	TORNA DIFERENTE
Vou explicar-lhe a maneira de composição das figuras que componho em mim	LHE COMPOSIÇÃO MANEIRA FIGURAS EU EXPLICAR COMPOR
Deve entender-se esta explicação como o desdobramento analítico de um fenómeno mais ou menos inconsciente	ESTE COMO EXPLICAÇÃO DESDOBRAMENTO ANALÍTICO FENÓMENO INCONSCIENTE INCONSCIENTE ELE ENTENDER DEVER
Fora impossível compor essas personalidades por um impulso determinado da razão.	EU IR IMPOSSÍVEL ESSE COMPOR IMPULSO PERSONALIDADES RAZÃO DETERMINAR
Como, naturalmente, sabe, a histeria (cuja existência como espécie nosológica é contestada por alguns, sem que isso importe para o caso presente) dá, tipicamente, uma oscilação extraordinária da sensibilidade, uma capacidade intensa de sensação e sentimento rápidos, profundos enquanto duram, porém incapazes de se prolongar, a tendência para o devaneio e para a irrealização, (...)	NATURAL COMO HISTERIA EXISTÊNCIA ISSO CAPACIDADE ESPÉCIE CONTESTAR ALGUNS OSCILAÇÃO EXTRAORDINÁRIO SENSAÇÃO INTENSO SABER DAR SENTIMENTO RÁPIDOS PROFUNDOS ENQUANTO ELES DURAR PORÉM INCAPAZES TENDÊNCIA DEVANEIO PROLONGAR
E para mim, idealista integral, o próprio mundo, o universo inteiro, não é senão um boato e um boato falso.	SENÃO UNIVERSO MUNDO IDEALISTA PRÓPRIO BOATO EU BOATO FALSO (NÃO)
Todos os caminhos do pensamento levam àquela Roma da dor, cujo supremo pontífice não dá audiências ao raciocínio, nem bulas ao sentimento.	SUPREMO CAMINHOS AQUELE TODO PENSAMENTO LEVAR ROMA DOR PONTÍFICE PONTÍFICE NEM RACIOCÍNIO BULAS SENTIMENTO DAR (NÃO)
Presente não tem ser,	PRESENTE NÃO ESTAR CERTO ELE NÃO_TER {NÃO}(headshake)
Quem querem ter nos braços	QUEM BRAÇOS TER QUERER
É a ideia de te ter.	IDEIA TU TER
Para compreender, destruí-me	EU DESTRUIÇÃO EU COMPREENDER
Compreender é esquecer de amar	COMPREENDER ESQUECER AMAR
Nada conheço mais ao mesmo tempo falso e significativo que aquele dito de Leonardo da Vinci, de que se não pode amar ou odiar uma coisa senão depois de compreendê-la.	AO MESMO TEMPO FALSO NADT(D-A) MAIS CONHECER DIZER SIGNIFICATIVO AQUELE DT(L-E-O-N-A-R-D-O) DT(D-A) DT(V-I-N-C-I) AMAR PODER NÃO OU SENÃO COISA ODIAR DEPOIS COMPREENDER (NÃO)
A solidão desola-me; a companhia oprime-me	COMPANHIA SOLIDÃO EU EU OPRIMIR DESOLAR
A presença de outra pessoa descaminha-me os pensamentos; sonho a sua presença com uma distracção especial, que toda a minha atenção analítica não consegue definir.	ATENÇÃO PRESENÇA MEU OUTRO EU PENSAMENTOS PESSOA DISTRACÇÃO PRESENÇA SEU TODA A SONHAR DEFINIR DESCAMINHAR CONSEGUIR NÃO CONSEGUIR (NÃO)
Cada um cumpre o destino que lhe cumpre.	CADA UM DESTINO LHE CUMPRIR CUMPRIR
E deseja o destino que deseja;	DESTINO DESEJAR DESEJAR
Nem cumpre o que deseja,	NEM O ELE CUMPRIR DESEJAR
Nem deseja o que cumpre.	NEM O DESEJAR CUMPRIR
Como as pedras na orla dos canteiros	COMO PEDRAS ORLA CANTEIROS
O Fado nos dispõe, e ali ficamos;	FADO NÓS DISPOR ALI NÓS FICAR
Que a Sorte nos fez postos	SORTE NÓS PÔR FAZER
Onde houvemos de sê-lo.	ONDE NÃO ESTAR CERTO HAVER
Não tenhamos melhor conhecimento	MELHOR CONHECIMENTO NÓS NÃO_TER {NÃO}(headshake)
Do que nos coube que de que nos coube.	DO QUE NÓS NÓS CABER
Cumpramos o que somos.	O
Nada mais nos é dado.	NÓS NADA MAIS DAR
Ténue, como se de Éolo a esquecessem,	A TÉNUE COMO SE DT(É-O-L-O) ESQUECER
A brisa da manhã titila o campo,	BRISA MANHÃ CAMPO TITILAR
E há começo do sol.	COMEÇO HAVER
Não desejemos, Lídia, nesta hora	ESTE DT(L-Í-D-I-A) HORA DESEJAR (NÃO)
Mais sol do que ela, nem mais alta brisa	MAIS NEM ALTO BRISA
Que a que é pequena e existe.	PEQUENO ELE EXISTIR
Desprezei sempre o falar de mim, prática socialmente sempre baixa e criticamente sempre errónea	SEMPRE EU DESPREZAR FALAR BAIXO EU PRÁTICA SOCIAL SEMPRE ERRÓNEO CRITICAMENTE
Ao apresentar, porém, uma revista de que sou autor único, falarei sem remédio de seu único autor.	APRESENTAR AUTOR QUE REMÉDIO REVISTA AUTOR SEU EU FALAR
Não pus a esta revista outro título, que não o que apenas a define	ESTE OUTRO QUE REVISTA TÍTULO O APENAS A DEFINIR PÔR (NÃO)
Pensei em dar-lhe o de Só e o de Um depois	DEPOIS LHE SÓ DAR PENSAR
Do primeiro desisti, não tanto por ser o do livro de Nobre, senão por soar a atitude trágica	SENÃO EU DESISTIR LIVRO DT(N-O-B-R-E) TANTO SOAR ATITUDE (NÃO)
Detesto as atitudes trágicas, porque são cómicas	PORQUE ATITUDES CÓMICAS DETESTAR
Do título Um desisti também, porque nesta revista me presento vários.	TAMBÉM PORQUE TÍTULO ESTE VÁRIOS REVISTA EU DESISTIR PRESENTAR
Torquato Mendes Fonseca da Cunha Rey.	DT(T-O-R-Q-U-A-T-O) DT(M-E-N-D-E-S) DT(F-O-N-S-E-C-A) DT(D-A) DT(C-U-N-H-A) DT(R-E-Y)
Não sei o valor que terá este escrito; os entendidos que o digam	ESTE ESCRITO VALOR ENTENDIDOS O TER DIZER NÃO_SABER {NÃO}(headshake)
O meu único fim foi (...) a última vontade do meu querido e chorado amigo	FIM MEU MEU ÚLTIMO VONTADE QUERIDO IR AMIGO CHORAR
Nada mais.	NADA MAIS
Pantaleão	DT(P-A-N-T-A-L-E-Ã-O)
Teu corpo real que dorme 	REAL CORPO TEU ELE DORMIR
É um frio no meu ser.	FRIO MEU
Escrever é esquecer	ESCREVER ESQUECER
A literatura é a maneira mais agradável de ignorar a vida	MANEIRA LITERATURA VIDA MAIS IGNORAR
A música embala, as artes visuais animam, as artes vivas (como a dança e o representar) entretêm	EMBALA ARTE MÚSICA VIVAS ARTES COMO DANÇA ANIMAR REPRESENTAR ELES ENTRETER
A primeira, porém, afasta-se da vida por fazer dela um sono; as segundas, contudo, não se afastam da vida — umas porque usam de fórmulas visíveis e portanto vitais, outras porque vivem da mesma vida humana.	PRIMEIRO PORÉM CONTUDO SEGUNDAS VISÍVEIS AFASTA FAZER VIDA FÓRMULAS VISÍVEIS AFASTAR VISÍVEIS PORQUE PORÉM CONTUDO VITAIS PORQUE MESMA OUTRO VIVER HUMANO VIDA (NÃO)
Não é esse o caso da literatura	ESSE CASO LITERATURA (NÃO)
Essa simula a vida	ESSA VIDA SIMULAR
Um romance é uma história do que nunca foi e um drama é um romance dado sem narrativa	ROMANCE HISTÓRIA DO QUE IR NUNCA NÃO ROMANCE DRAMA NARRATIVA DAR
Um poema é a expressão de ideias ou de sentimentos em linguagem que ninguém emprega, pois que ninguém fala em verso.	POEMA EXPRESSÃO IDEIAS OU SENTIMENTOS NINGUÉM POIS QUE NINGUÉM FALAR LINGUAGEM VERSO FALAR EMPREGAR
Meu gesto que destrói	GESTO MEU
A mole das formigas,	MOLE FORMIGAS
Tomá-lo-ão elas por de um ser divino;	O TOMAR DIVINO ELAS
Mas eu não sou divino para mim.	MAS EU DIVINO EU (NÃO)
Assim talvez os deuses	TALVEZ DEUSES
Para si o não sejam,	O SI (NÃO)
E só de serem do que nós maiores	SÓ MAIORES DO QUE NÓS
Tirem o serem deuses para nós.	O TIRAR DEUSES NÓS
Seja qual for o certo,	CERTO IR
Mesmo para com esses	MESMO ESSE
Que cremos serem deuses, não sejamos	DEUSES NÃO ESTAR CERTO CRER (NÃO)
Inteiros numa fé talvez sem causa.	TALVEZ INTEIROS FÉ CAUSA
No breve número de doze meses	BREVE NÚMERO 12 MÊS
O ano passa, e breves são os anos,	ANO PASSADO BREVES ANOS
Poucos a vida dura.	POUCO VIDA DURO
Que são doze ou sessenta na floresta	12 OU 60 FLORESTA
Dos números, e quanto pouco falta	NÚMEROS QUANTO ELE FALTAR
Para o fim do futuro!	FIM FUTURO
Dois terços já, tão rápido, do curso	JÁ TERÇO 2 TÃO RÁPIDO CURSO
Que me é imposto correr descendo, passo.	EU CORRER PASSO DESCER IMPOR
Apresso, e breve acabo.	EU APRESSAR BREVE EU ACABAR
Dado em declive deixo, e invito apresso	DECLIVE DAR DAR INVITO EU APRESSAR
O moribundo passo.	MORIBUNDO PASSO
Programa do periódico de Caeiro, R	PROGRAMA PERIÓDICO DT(C-A-E-I-R-O) R
Reis, etc.	REIS ETC
Melhor do que enfastiar no início, por uma exposição argumentada, ao comunicar ao nosso público, seja ele qual tenha de ser, e de quantos possa vir a ser, será, em breves palavras, classificativamente, enfeixar em formulas dogmáticas qual seja o resumo (súmula) da nossa atitude	MELHOR NOSSO ELE EXPOSIÇÃO PÚBLICO ENFASTIAR COMUNICAR ARGUMENTAR TER CLASSIFICATIVO RESUMO PALAVRAS NOSSO PODER PODER PODER SÚMULA ATITUDE FORMULAR VIR SER
No desdobrar das publicações aqui a inserir virão, cada uma em sua necessária altura, as provas das asserções que este programa postula, e o estabelecimento definido das bases em que esses mesmos postulados assentam	AQUI PROGRAMA SEU ESTE MULHER PUBLICAÇÃO DESDOBRAR ALTURA MULHER ASSERÇÃO PROVAS INSERIR VIR POSTULAR ESTABELECIMENTO ESSE POSTULADOS BASES QUE DEFINIR ASSENTAR
Por ora, para fins de gravar na mente dos possíveis curiosos deste periódico, limitamos a nossa apresentação a essa sucinta (...) das bases sobre que assenta a nossa attitude.	ORA NOSSO NOSSO ESSE APRESENTAÇÃO FINS MENTE CURIOSOS PERIÓDICO ATTITUDE SUCINTO GRAVAR LIMITAR ASSENTAR
As cláusulas seguintes encerram-a completamente:	COMPLETAMENTE SEGUINTES A CLÁUSULAS ENCERRAR
A civilização moderna, assente sobre bases de psiquismo cristão, é desde seu início uma decadência; em lugar de se continuar a obra da Grécia, enxertou-se sobre o espírito grego decadente o espírito romano decadente e o espírito semita decadente	CIVILIZAÇÃO DECADÊNCIA GRÉCIA ESPÍRITO ESPÍRITO GREGO BASES PSIQUISMO GREGO GREGO ESPÍRITO DECADENTE SEMITA DECADENTE GREGO SEU CONTINUAR ENXERTAR
A nossa civilização é o produto de três decadências somadas	PRODUTO CIVILIZAÇÃO NOSSO 3 DECADÊNCIA SOMAR
O que tem de bom provém da neutralização que esses três géneros de decadência por vezes, e em certos pontos, realizam um sobre os outros	O ESSE PROVIR NEUTRALIZAÇÃO 3 GÉNERO DECADÊNCIA MULHER VEZ TER OUTROS CERTO PONTOS REALIZAR
Todo o caminho andado, o que verdadeiramente tem constituído progresso, tem sido contrário ao próprio íntimo espírito da nossa civilização.	VERDADEIRO TODO CAMINHO PRÓPRIO NOSSO O ÍNTIMO CONTRÁRIO ESPÍRITO CIVILIZAÇÃO ANDAR CONSTITUIR
Importa, portanto, acima de tudo, procurar reatar a tradição perdida da obra grega, afastando o elemento romano e o elemento semita, que representam atrasos e degenerescências em referência ao psiquismo grego, formas inferiores de civilização que supuraram ao contacto com a Grécia e a continuaram depois...	MULHER GREGO TUDO TRADIÇÃO PORTANTO PERDER AFASTAR ELEMENTO ROMANO IMPORTAR REATAR PROCURAR PORTANTO SEMITA REPRESENTAR ELEMENTO ATRASOS DEGENERESCÊNCIAS GREGO CONTACTO REFERÊNCIA FORMAS SUPURAR GRÉCIA DEPOIS ELES CONTINUAR
Importa, depois, fazer guerra directa a quantas formas literárias pertencem ao misticismo cristão, varrendo de diante do caminho das nossas ideias os obstáculos que lhe ergue a convicção da importância da chamada Vida Interior	DEPOIS FORMAS LITERÁRIAS MISTICISMO VARRER IDEIAS ERGUER LHE IMPORTAR GUERRA NOME CONVICÇÃO OBSTÁCULOS IMPORTÂNCIA NOME VIDA INTERIOR FAZER PERTENCER
Reintegrar o homem na Natureza sem o tirar da humanidade.	HOMEM TIRAR NATUREZA HUMANIDADE REINTEGRAR
Desfazer o erro enorme que existe em toda a gente moderna de que o ideal grego é sensual ou propriamente animal	PROPRIAMENTE IDEAL DESFAZER SENSUAL OU ANIMAL ERRO TODA A GENTE EXISTIR
O ideal grego é essencialmente de calma e de domínio de si-próprio; só tomou aspecto de sensualidade e de fúria da beleza através dos cérebros grosseiros dos romanos e, depois, coado pela mentalidade confusa dos semitas de várias espécies	ESSENCIAL IDEAL CALMA SÓ SI PRÓPRIO DOMÍNIO ASPECTO SENSUALIDADE ELE TOMAR ESSENCIAL IDEAL GREGO CALMA SÓ SI PRÓPRIO DOMÍNIO ASPECTO SENSUALIDADE ELE TOMAR DEPOIS CÉREBROS ROMANOS FÚRIA BELEZA GROSSEIROS ESPÉCIES ATRAVÉS SEMITAS COAR MENTALIDADE CONFUSO VÁRIOS
O ideal grego é de castidade dentro da normalidade; de equilíbrio dentro da realização dos desejos e dos instintos	DENTRO IDEAL CASTIDADE DESEJOS INSTINTOS
No seu grau mais nítido, é representado pelo ideal estóico, essencialmente intelectual, essencialmente triste	ESSENCIAL NÍTIDO ESTÓICO INTELECTUAL MAIS GRAU IDEAL SEU ESSENCIAL TRISTE REPRESENTAR
O grego era essencialmente triste, como todos os grandes equilibrados, em quem é elemento psíquico basilar a consciência da impermanência, da fatalidade e da futilidade das coisas, sem que haja do indivíduo para si-próprio licença para sonhar além-mundos ou paraísos que nenhum facto natural justifica ou aponta	ESSENCIAL GREGO TRISTE TODO IMPERMANÊNCIA EQUILIBRAR ELEMENTO BASILAR FATALIDADE LICENÇA FUTILIDADE INDIVÍDUO COISA ALÉM-MUNDOS SI PRÓPRIO HAVER SONHAR OU PARAÍSOS NENHUM NATURAL FACTO JUSTIFICAR OU ELE APONTAR
Platão é a decadência do ideal grego.	DT(P-L-A-T-Ã-O) DECADÊNCIA IDEAL GREGO
8	8
Presentemente, temos que ser estóicos, como foram os últimos representantes do paganismo no meio da febre e da lama do império romano, do lodo do cristianismo nascente, das invasões espirituais semíticas; o nosso caminho é ao contrário do deles	PRESENTE COMO ESTÓICOS ÚLTIMO REPRESENTANTES PAGANISMO MEIO FEBRE ELES IR AO CONTRÁRIO ROMANO NASCENTE ESPIRITUAIS SEMÍTICAS LAMA IMPÉRIO CRISTIANISMO LODO MULHER INVASÃO CAMINHO NOSSO ELES ELES
Eles vieram do paganismo natural para o estoicismo, porque o paganismo em face à civilização do império decadente (às civilizações decadentes) tem de ser o estoicismo	ELES PORQUE PAGANISMO MULHER CIVILIZAÇÃO PAGANISMO ESTOICISMO FACE CIVILIZAÇÃO IMPÉRIO DECADENTE ESTOICISMO TER
Nós iremos buscar o estoicismo para reatar o fio e ver se conseguimos subir outra vez, mas a nosso modo, às fontes e às origens do espírito pagão	NÓS ESTOICISMO FIO REATAR BUSCAR IR OUTRA VEZ NOSSO NÓS CONSEGUIR MAS MODO FONTES SUBIR VER
Os estóicos ficaram sem sequentes; seremos nós os sequentes deles.	ESTÓICOS SEQUENTES SEQUENTES ELES NÓS
9	9
Tudo isto não teria sentido se fosse uma atitude decidida intelectualmente, isto é, concebida como uma filosofia de acção	INTELECTUAL TUDO ISTO SENTIDO COMO ATITUDE FILOSOFIA ACÇÃO FOSSAR DECIDIR CONCEBER (NÃO)
Os autores que se reúnem para formar este periódico são todos temperamentalmente assim, não intelectualmente	TEMPERAMENTAL ESTE AUTORES FORMAR PERIÓDICO TODO ASSIM INTELECTUAL REUNIR (NÃO)
O facto de aparecer num país pequeno mais do que um temperamento deste genero é, já de si, indicador de qualquer coisa	JÁ FACTO QUALQUER DO QUE TEMPERAMENTO PAÍS GENERO MAIS COISA COISA COISA INDICADOR APARECER
Não é pagão quem quer, mas quem pagão nasce	PAGÃO QUERER MAS PAGÃO QUEM NASCER (NÃO)
Não compreende o paganismo quem quer, mas sim apenas quem o sente nas veias	PAGANISMO QUERER COMPREENDER NÃO MAS SIM O VEIAS SENTIR (NÃO)
Há muito quem ame o paganismo, mas é um paganismo à romana, que não é senão a degenerescência e a doença do outro, porque, propriamente, nem à romana sói ser, mas antes à romana da decadência, ou à moderna, concebendo Grécia através de Roma, e essa Roma através da Judeia que está no nosso sangue	AMAR PAGANISMO HAVER MAS SENÃO PAGANISMO ROMANA DEGENERESCÊNCIA PROPRIAMENTE PORQUE OUTRO NEM ROMANA NÃO ESTAR CERTO SOER MAS ANTES ROMANA DECADÊNCIA OU MODERNO GRÉCIA ROMA CONCEBER ATRAVÉS ROMA NOSSO ESSE JUDEIA SANGUE (NÃO)
Somos uma mistura de decadências.	MISTURA DECADÊNCIAS
11	11
Nada nos daria maior prazer do que receber qualquer sinal de acordo connosco da parte de quaisquer portugueses que julguem da hora a nossa obra	ACORDO DO QUE NOSSO NADA QUALQUER QUALQUER NÓS PRAZER PORTUGUESES HORA OBRA DAR RECEBER JULGAR
Mas não convidamos ninguém a procurar-nos	MAS NINGUÉM PROCURAR CONVIDAR (NÃO)
A nossa obra exige que cada um se isole, para ver se se encontra	SE OBRA NOSSO ISOLAR VER ENCONTRAR EXIGIR
Todos os esforços são poucos, dada a confusão que nos cerca em tudo, para nos encontrarmos equilibradamente, e não irmos despenhados, como cristãos doentes, pelos nossos sonhos abaixo, nem cairmos na acção, porque isso é próprio de quem não tem nada que fazer	EQUILIBRADO TODO ESFORÇOS POUCOS CONFUSÃO CERCA TUDO NÓS DAR ENCONTRAR ABAIXO NOSSO COMO CRISTÃOS DOENTES SONHOS DESPENHAR NÓS IR NÃO NEM ISSO PORQUE NADA FAZER ACÇÃO (NÃO)
Não falamos com pessoa nenhuma, nem nos dispomos a fazer propaganda da nossa atitude, excepto a inevitável que o nosso periódico faça	NENHUMA PESSOA FALAR NÃO NEM NÓS PERIÓDICO NOSSO PROPAGANDA INEVITÁVEL ATITUDE NOSSO FAZER DISPOR FAZER (NÃO)
Aceitamos de bom grado toda a controvérsia, mas não publicaremos aqui artigos de adversários	BOM TODA A CONTROVÉRSIA GRADO NÓS ACEITAR MAS AQUI ARTIGOS ADVERSÁRIOS NÓS PUBLICAR (NÃO)
A nossa obra é nossa	OBRA NOSSO NOSSO
Responderemos contudo sempre, porque sabemos onde estamos e para onde é o nosso caminho.	NÓS RESPONDER CONTUDO SEMPRE PORQUE ONDE NÓS SABER ONDE NOSSO CAMINHO
12	12
A calma, a paz e o domínio de si-próprio são o nosso objectivo e o que propomos a cada qual que queira estar connosco; o afastamento da sensualidade, da religiosidade interior, dos instintos humanitários, do sonho e da (...)	CALMA PAZ DOMÍNIO SI PRÓPRIO OBJECTIVO NOSSO O AFASTAMENTO INSTINTOS CADA QUAL CONNOSCO INTERIOR SONHO HUMANITÁRIOS PROPOR QUERER
só numa reconstituição do paganismo dos helenos se pode encontrar o bálsamo para a febre das nossas almas	SÓ HELENOS RECONSTITUIÇÃO PAGANISMO FEBRE ALMAS NOSSO ENCONTRAR ELE PODER
Procuremos ver as coisas claramente, não pondo ideais nossos adiante dos olhos, graves e tristes como convém a homens conscientes da fatalidade das coisas e da nossa transitória pequenez dentro deste grande e sereno Universo.	CLARO COISA NOSSO IDEAIS ADIANTE OLHO GRAVES VER NÓS PROCURAR PÔR NÃO COMO TRISTE CONSCIENTES HOMEM COISA FATALIDADE ELE CONVIR (NÃO)
Para que nada fique por explicar, e como as origens são tudo, pode interessar a alguns leitores saber como nasceu este movimento, que assim tão inesperadamente lhe aparece.	NADA EXPLICAR FICAR INESPERADO COMO COMO MULHER ORIGEM TUDO ALGUM ESTE MOVIMENTO PODER LEITORES SABER NASCER LHE LHE INTERESSAR APARECER
Prefácio às Visões	PREFÁCIO VISÕES
Nem venha ninguém dizer que este livro é áspero e brutal.	NEM LIVRO NINGUÉM ESTE VIR DIZER ÁSPERO BRUTAL
Propriamente falando, eu não combato a monarquia; combato a monarquia portuguesa	PROPRIAMENTE EU COMBATER MONARQUIA PORTUGUÊS FALAR COMBATER (NÃO)
Não admito nem que a monarquia seja preferida, nem que ela seja igual em voto à república em parte alguma	EU ADMITIR NÃO NEM MONARQUIA PREFERIR NEM QUE ALGUM IGUAL VOTO REPÚBLICA PARTE (NÃO)
Mas neste caso, repito, não é a monarquia que combato	MAS REPITAR MONARQUIA ESTE CASO REPITAR COMBATER (NÃO)
É a monarquia portuguesa.	PORTUGUÊS MONARQUIA
A monarquia tem-se tomado em alguns países compatível com a maior civilização, deixando de ser o menos possível monarquia	MONARQUIA ALGUM CIVILIZAÇÃO TOMAR PAÍSES MONARQUIA MENOS DEIXAR POSSÍVEL
Quanto menos monarquia é, melhor sabe	QUANTO MONARQUIA MENOS MELHOR SABER
A monarquia portuguesa não está neste caso	MONARQUIA ESTE CASO (NÃO)
Não é preciso provar	PRECISO PROVAR (NÃO)
A monarquia portuguesa aí está	AÍ PORTUGUÊS MONARQUIA
Basta olhar para ela	ELE BASTAR OLHAR
Não há melhor argumento.	MELHOR ARGUMENTO HAVER (NÃO)
Ah, a esta alma que não arde	ESTE AH ALMA ARDER (NÃO)
Não envolve, porque ama	PORQUE ELE AMAR ENVOLVER (NÃO)
A esperança, ainda que vã,	ESPERANÇA VÃO
O esquecimento que vive	ESQUECIMENTO VIVER
Entre o orvalho da tarde	ORVALHO TARDE
E o orvalho da manhã.	ORVALHO MANHÃ
A metafísica pareceu-me sempre uma forma prolongada da loucura latente	METAFÍSICA LOUCURA LATENTE FORMA EU PROLONGAR
Se conhecêssemos a verdade, vê-la-íamos; tudo (o) mais é sistema e arredores	SE VERDADE TUDO CONHECER VER SISTEMA ARREDORES MAIS
Basta-nos, se pensarmos, a incompreensibilidade do universo; querer compreendê-lo é ser menos que homens, porque ser homem é saber que se não compreende.	NÓS PORQUE QUE BASTAR HOMEM UNIVERSO SABER SABER HOMEM SABER SABER COMPREENDER QUERER SER COMPREENDER (NÃO)
Trazem-me a fé como um embrulho fechado numa salva alheia	FÉ EU SALVA ALHEIO EMBRULHO TRAZER FECHAR
Querem que o aceite, mas que o não abra	QUE MAS ACEITE ABRA ELES QUERER (NÃO)
Trazem-me a ciência, como uma faca num prato, com que abrirei as folhas de um livro de páginas brancas	EU CIÊNCIA FACA PRATO FOLHAS LIVRO BRANCAS PÁGINAS BRANCAS TRAZER ABRIR
